"feature_id","gene_id","transcript_id","mean_norm_WT","mean_norm_mutant","a.value","m.value_TCC_raw","log2FC_mut_vs_WT","p.value","q.value","rank","estimatedDEG","direction","abs_log2FC_gt1"
"Os02g0753300","Os02g0753300","Os02t0753300-01",418.478106680433,381.307553195101,8.64190981836319,-0.134197038745766,-0.134197038745766,0.0840492226968736,0.227464989568211,16570,0,"NS",FALSE
"Os02g0753400","Os02g0753400","Os02t0753400-01",12.0348768185971,7.28721133756469,3.22725815069373,-0.723782639131572,-0.723782639131572,0.0249678072137191,0.0986829143920341,11346,0,"NS",FALSE
"Os02g0753500","Os02g0753500","Os02t0753500-01",0.991953730444264,0.907055339244916,-0.0761963949884653,-0.129082255911548,-0.129082255911548,0.860294346666049,0.974464250616122,39590,0,"NS",FALSE
"Os02g0753700","Os02g0753700","Os02t0753700-01",7.61116387845323,16.4610054437826,3.48454881861732,1.11286347004435,1.11286347004435,0.100806446265787,0.258410357639401,17493,0,"NS",TRUE
"Os02g0753800","Os02g0753800","Os02t0753800-01",568.931642798714,453.516771322156,8.98856180299472,-0.327099419503917,-0.327099419503917,0.0332198694746145,0.119005578105097,12518,0,"NS",FALSE
"Os02g0753850","Os02g0753850","Os02t0753850-00",0.834529310912326,0.610961160708522,-0.48590639914631,-0.449882052128003,-0.449882052128003,0.146266176546064,0.329644441391048,19897,0,"NS",FALSE
"Os02g0753900","Os02g0753900","Os02t0753900-01",42.9343305809434,34.7464675574359,5.2714271018648,-0.305265381817031,-0.305265381817031,0.065498643761806,0.192463101562789,15249,0,"NS",FALSE
"Os02g0754000","Os02g0754000","Os02t0754000-01",64.9294887393773,52.252656444199,5.86411721135786,-0.313369466058134,-0.313369466058134,3.8392337591838e-05,0.000669388019816634,2572,1,"down",FALSE
"Os02g0754000.1","Os02g0754000","Os02t0754000-02",59.4391263225645,51.2978442517229,5.78708364957526,-0.212514711227596,-0.212514711227596,0.0216289551447647,0.08857196808859,10950,0,"NS",FALSE
"Os02g0754100","Os02g0754100","Os02t0754100-01",109.341715470127,99.1427454764388,6.70206770536785,-0.141264799563992,-0.141264799563992,0.0773257847663417,0.214472878034502,16168,0,"NS",FALSE
